,customer_zip_code_prefix,order_item_id,price,freight_value,payment_sequential,payment_installments,payment_value,review_score,product_name_lenght,product_description_lenght,product_photos_qty,product_weight_g,product_length_cm,product_height_cm,product_width_cm,total_payment
count,118307.0,118307.0,118307.0,118307.0,118307.0,118307.0,118307.0,117329.0,116598.0,116598.0,116598.0,118287.0,118287.0,118287.0,118287.0,118307.0
mean,35051.17727606989,1.1965226064391794,-2.1801500594294198e-17,-8.095984242729636e-17,1.0940688209488871,2.9433169634932845,172.57510155781145,4.031467071227063,48.767877665140055,785.9613887030653,2.2051921988370298,2112.278948658771,30.265506775892533,16.619721524766035,23.07497865361367,5.2071352659099363e-17
std,29824.78624711631,0.6994739831197869,1.0000042263194042,1.000004226319404,0.7285792699062663,2.7778765888565675,267.1107272818371,1.3879271375570745,10.033389632150493,652.5912836414187,1.7174630900061947,3786.7389874272285,16.18941318745299,13.453754221144957,11.749234120956022,1.000004226319404
min,1003.0,1.0,-0.6506869097778056,-1.2649581546571989,1.0,0.0,0.0,1.0,5.0,4.0,1.0,0.0,7.0,2.0,6.0,-0.7038311834951072
25%,11310.0,1.0,-0.4385864312026839,-0.4390309811895682,1.0,1.0,60.85,4.0,42.0,346.0,1.0,300.0,18.0,8.0,15.0,-0.4467732687033542
50%,24310.0,1.0,-0.2484835694836247,-0.2369692873748573,1.0,2.0,108.2,5.0,52.0,600.0,1.0,700.0,25.0,13.0,20.0,-0.2545027331685137
75%,58640.0,1.0,0.0774070506061909,0.0724376812789186,1.0,4.0,189.26,5.0,57.0,983.0,3.0,1800.0,38.0,20.0,30.0,0.0885984686024561
max,99990.0,21.0,35.925918411519405,24.60399019597116,29.0,24.0,13664.08,5.0,76.0,3992.0,20.0,40425.0,105.0,105.0,118.0,35.49777718557952
